Gmatria	Word
0	
3	בא
5	אגא | בבא
6	בד | גג
7	או | גד | בה
8	בו | אהב | אז | באה | הבא | אבה
9	בוא | זב | באו | בגד | ובא
10	אבוא
11	אי | הגג | בבאו
12	זה | הגד | בי | הוא
13	בגוב | אחד | הגה | אהבה | יבא | אבי | הבו
14	זהב | דוד | דדו | אהבו | יד | בזה
15	באחד
16	היא | איה | בדוד | ביד | ואבוא | בגיא
17	טוב | הזה | בבגדו | גדוד | ההוא
18	והוא | הביא | חי | דדי | האחד
19	יבאו | יואב | גוי | הדי | אחי | ויבא | אביו | יבוא | הזהב | ידה | בגדי | בואי | ואחד | היד
20	היה | ודוד | חזה | ידו | וזהב
21	אך | ביואב | היו | אהיה | גיח | ההיא
22	יחד | הגדי | בך | טובה | ידח | הטוב | ואחז | והיא | ואיה | וביד | הגיד
23	ויגד | איבי | באך
24	הביאו | וחי | אחיה | ידי
25	ויבאו | כה | יהי | אחיו | בבאך | ויואב | בזבחו | בגדיו | והזהב | אידי | ויט
26	יהוה | בידי | והיה | בחיו | כבד | כדב
27	אחחי | הטובה | בבגדיו | ואחזה | בכה | והיו | ואהיה
28	יחי | הגידו | חיי | והגיד | הביאי | ובידו | יגיה | ביהוה | יחדו | בכו
29	ואיבי | ויגדו | איביו | ויאבדו | בואך | החוי | כבוא | ויאהבה
30	ידיו | הכה | יהיה | כי | יהודה
31	לא | אל | הכו | ויהי | ייטב | ואחיו | ויטו | יהיו | איך | אודך | וכה | ובגדיו
32	אכבדה | ויהוה | בכי | האחחי | ויאחז | לב | כזה
33	והדיח | אביך | איבך | ובכה | גל | יחיה | כאחד | לאב | והגידה | אבל | ויזבח
34	גאל | ידך | והגידו | דל | ואבכה | וכבו | בלב | לבב
35	הכי | לה | באבל | גבל
36	בידך | ויך | והכה | וכי | לו | ויטהו | בחייו | אלה | אחיטוב | האל | ויהודה
37	ואיך | כטוב | ואל | ויהיו | וייטב | ולא
38	ויבך | וכזה | באלה | גלה | אבלה | הביאך | אהביך | האבל | אדלג | באהל | בלו | לבו | חיך
39	ויחיה | אחיך | בלבה | ובוכה | ואביך | לבוא | טל
40	באבלה | בחל | חלב | לי | לאט
41	אם | אלי | האלה | האהל
42	לבדו | ואלה | בחבל | ולו | הלוא | הואל | יכחד | בלי | ויכו
43	איביך | לאהבה | ידידיה | גדול | ולוא | גם | לאגדה | לאחד
44	הטל | יגאל | לדוד | ילד | ויבכו
45	הם | מה | החבל | אדם | מאד | ככה
46	בדם | אככה | אביגל | מאה | אלהי | אמה | אליה
47	ואם | אליו | באדם | בהם | אולי | ויכהו
