Gmatria	Word
0	
1	א
3	בא
5	דא | בג
6	הא | גבא
7	הב | בה
8	באה | הבא | בו
9	בוא | ובא
10	גבה | גוא
11	בגו | דהב | טב
12	הוא | טאב | זה | בי | דהבא | בגוא | חד
13	אזה | אזדא | אחד | גדו | יבא | אבי
14	די | בזה | יד
15	הוד | ידא | גבהה | ובאו
16	היא | בגוה | בזהב | הוה | ביד | אחוא
17	טוב | הזה | יהב | זבח | הוו | חדה | ובבאו
18	והוא | אגיד | הביא | בהחבא | ודהבא
19	גוי | הטה | ויבא | ידה | יבוא | הזהב | ואחד | חיא
20	ודי | היה | בחי | חזה | ידו | גביה | וזהב
21	בידה | היו | ההיא
22	בך | ובבזה | בידו | והיא
23	והובד | והוו
24	אבוהי | בחזוא | ידי
25	יהוד | ויבאו | כה
26	יהוה | והגבהה
27	יהיב
28	חיי | כח
29	חייא | כזב | חיוה | ויהבו | אבוך | וזוי
30	כי | טבחיא | יהודה | יהיה
31	לא | אל | כדבה | ויהי | והודי | חזוי
32	כבוד | וחזוה | בל
33	בחזוי | זכו | אבל | וטובי | חדוהי
34	בבל | ידך | גלא | כדי | כוח | וזיוה | יהחוה | כחו | ויביאה
35	לה | לדא | לגב
36	בידך | הלא | ויך | בכחו | יכבד | לו | אלה | יהודיא | לדב | לגבא | האל
37	אלהא | ואל | כחדה | וחזוי | ולא
38	אזל | האבל | זיוהי | לבו
39	לבבה | וזיוי | לבוא | אובל
40	וכדי | חבל | ולבב | לגוא | וגלא | לי | לבבו
41	ולגב | אלהה | ולה | אלי | והיך | לגוב | איל | אם | האלה
42	ולו | ואלה | גדלה | להוא | אלוה
43	ואלו | גלי | גדול | באלהה | יבלא | באיל
44	וזיוהי | בלבי | וגלה | וחטאך
45	מה | ולבבה | מאד | אדם
46	להוה | וחבל | לבדי | האיל | אהלי | ולבבו | מאה | אלהי | אמה | ולי
47	אליו | הגדלה | בהם | ובטל | אולי
48	הגדול | חיל | ובלבבו | להביא
49	דמה | מחא | חמא | וגם
50	לך | ההם | מטא | ובלהבה | בחיל | כל
51	להזדה | ימא | כלא | חבולה | אלך | אדום | בחמא | נא
52	בן | אלהיו | לבך | הגדיל | דחיל | אנא | להגיד | להובדה | בכל | אמיא
53	אבן | וחטיך | הגדולה | החיל
54	מדי | ולהביא | ולחי | לאהביו | לבבך | מטה
55	כהל | בחילה | מטו | כלה | הכל | הן | ומואב | ימה | מדיא
56	אנה | אלהך | ואדמה | אכלה | ולך | בדים | יום | וכל | מהודא | ליהוה
57	אכלו | יגדיל | הבן | נגד | ומודא | דחילה | בנגב
58	אנבה | ובכל | לחיי | יבהלהו | והגדיל | ולהובדה
59	נגו | המדי | ימחא | דנה | וזיויך | וחמה | דמיה | מגוי | ביומא
60	ואבנא | כלי | והילדה | נגוא | הנה | הנגב | ולכד | מידו | ימטא | וחילו | יכל
61	אני | והן | ובאבן | יאכל | היום | הבדים | אכלי | אין | בנגהא | אליך | וכלה
62	ואנה | בני | בין
63	אחדים | בהון | אבין | ואכלו | והבן
64	דין | נבזה | וביום | ואנבה | ביומו | להחויה | ובנו
65	ודנה | נחוא | אדני | כמה | אדין | דינא | היכל
66	יון | ונגבה | לאלה | אלהיך | היכלא | יוכל | והנה
67	סגד | הבין | ואכלי | יומיא | נגיד | ואין | וחבלוהי | באדין | ואני | זני | בינה | בהיכל | יבהלך
68	ובין | ויבן | הנביא | ובני
69	ויביאם | ונביא
70	טינא | כן | ככל
71	לאיל | יומיה | ודינא | חזון | ויכלה
72	ונבזבה | יבין | ולאלה | להלז | אעא
73	חכמה | יבהלוך | ובינה | ולאלהא | אחידן | בעא | בחזון
74	ומביאיה | לבבם | וביומי | דכן | עד | נהחוה | דע | ודחון | ובניו | חטאנו | אבעא | חיון
75	חזין | להם | בחכמה | מלה | למה
76	כיום | כנו | החזון | לאלהי | עבד | בידין | מלבד | וכן | ויין
77	עז | יהבדון | בהיכלי | יהבין
78	אזנך | לחם | בעו | חלם | למזא | המחכה | וביין | יבינו | ולאלוה
79	החוני | יחונה | כדנה | חלמא | וחכמה
80	לכל | עוד | בחיין | ועד | עטא | מלי | וחללו
81	אלים | לימא | ומלה | עבדה | מליא | לכלא | ליליא | אנכי | אלן
82	ועבד | ולאלהי | ונכאה
83	סבכא | והחסד | ויסגד | בליליא | ובעה
84	חלום | ידע | ובעו | למדי
85	ומטל | וחלמא | מהם | להן | הודע
86	לאלהך | בחטאינו | יהודאין | לנו | ולכל | ועוד | מום
87	מאום | ואף | אלהנא | גלגלוהי | יבעה
88	נגלה | להביאם | חכימי | חלמי | ולבים
89	החלום | עזבי | ויגע | ימלט | יעדה | חכימיא
90	מכל | פי | מלך | להיהם | מן
91	אלין | מלכא | והודע | האלהים | מנא | אילן | להון | לאיים
92	עבדיו | למזיה | וסוך | ולנו | אילנא | וכוין
93	יעוז | צבא
94	ידעי | ילדים | ידיע | אופז
95	יהודע | מהלך | וחכימיא | ימלטו | ויטע | לאדני | העדיו | מלכה | ידעהו | המלך | דניאל | מנה
96	ומים | לאלהיך | נולי | מלאכה | עבדך | מלכו | ומן | ומלך | אלהין
97	עבדוהי | לנגדי | אלההון | להבין | ומלכא | זמן | בדניאל
98	זמנא | צבו | חילים | ונלוו | גפיה | הצבא | חלמך
99	ויגיע | וצבא | הילדים
100	וידעי | הצדא | להיכלה | מלכי | ימים | על | מלל | מני | במחן
